x, y
-4.946558704453441, 2.797747463288545
-4.849392712550607, 2.6315569067178446
-4.747368421052632, 2.7300475589964153
-4.640485829959514, 2.7300475589964153
-4.553036437246964, 2.867126194393072
-4.441295546558704, 2.6315569067178446
-4.348987854251012, 2.902458089863473
-4.2615384615384615, 2.6968144331433503
-4.144939271255061, 2.5678784821774547
-4.038056680161944, 2.867126194393072
-3.9311740890688256, 2.663985857258772
-3.853441295546559, 2.6968144331433503
-3.7417004048582996, 2.7636902201294755
-3.639676113360324, 2.663985857258772
-3.57165991902834, 2.7636902201294755
-3.445344129554656, 2.599522716843655
-3.348178137651822, 2.356896033596694
-3.241295546558704, 2.189906294605915
-3.148987854251012, 2.3282053163786025
-3.046963562753036, 2.189906294605915
-2.954655870445344, 2.4451070189297983
-2.8526315789473684, 2.356896033596694
-2.7457489878542507, 2.4451070189297983
-2.648582995951417, 2.244211739236356
-2.5562753036437247, 2.13691493334156
-2.4445344129554654, 2.110902066758701
-2.3425101214574897, 2.025036454493437
-2.2550607287449393, 2.5245125068072554
-2.1481781376518216, 4.434640078501623
-2.0412955465587044, 7.7900317676478705
-1.9538461538461536, 10.451985611449407
-1.8469635627530363, 11.248994302410518
-1.7595141700404855, 6.248770116452942
-1.6565182186234817, 4.855145365769356
-1.5399190283400808, 3.837739506479733
-1.4466396761133602, 3.280884913232609
-1.3455870445344127, 2.8048297169995
-1.2523076923076921, 2.49369381317151
-1.1512550607287446, 2.2170717873390866
-1.0502024291497976, 2.0904898794407654
-0.9491497975708496, 1.932884133919392
-0.848097165991903, 1.822527688622887
-0.7470445344129555, 1.7524797603304236
-0.645991902834008, 1.68512408867071
-0.5449392712550605, 1.652423355805039
-0.44388663967611297, 1.6203571981241518
-0.34283400809716547, 1.5889133013576988
-0.2495546558704449, 1.5889133013576988
-0.1485020242914974, 1.5889133013576988
-0.047449392712550775, 1.5889133013576988
0.061376518218623666, 1.6203571981241518
0.16242914979757117, 1.5889133013576988
0.2634817813765187, 1.6203571981241518
0.35676113360323924, 1.6203571981241518
0.4422672064777329, 1.6203571981241518
0.5588663967611343, 1.6203571981241518
0.6521457489878548, 1.6203571981241518
0.7454251012145754, 1.6203571981241518
0.8464777327935229, 1.6203571981241518
0.9630769230769234, 1.5889133013576988
