#run radE(eV) radE_filtered(eV)
0 1938819.6315788804 679093.6109425047
1 3056872.0779053285 1107771.3117185074
2 1712111.8909553778 610992.8008157561
3 2357491.4772428707 856344.2477979966
4 1058919.8455226386 359627.9453272751
5 2517827.195755431 918237.6842488953
6 1381490.1001124936 492081.5954851387
7 1882646.1242958333 660103.0720099369
8 2497152.063318813 924763.4322639093
9 2116172.7339623934 785547.9379566303
10 2580826.001998555 926568.1881543824
11 2073837.3084057798 755970.5841672244
12 499839.11308613524 154979.29415475344
13 2394787.945774458 872773.589358751
14 1296160.67056718 468037.41257201496
15 1330838.7366689844 472979.922346786
16 740803.5381135648 262973.18680971826
17 1260752.8389762454 443815.7776678959
18 1693486.7540543198 611521.3854500891
19 835488.6780967405 297496.82680962875
20 1628817.338357716 553070.2707763931
21 656590.9980221096 184037.04789088632
22 898772.0744877722 304859.79148428165
23 1925873.7146239066 686086.3612270355
24 868672.1401246857 291547.21965547005
25 620463.867118268 207642.18266718916
26 1540873.444802165 542432.0381214371
27 2100852.2154295216 737753.0149705712
28 2153468.527622924 772154.1023745785
29 383545.30076949554 108015.96077157879
30 2744871.806230301 998541.7528859471
31 1989042.3603614902 730973.1680918518
32 1914312.4694908622 655713.9037488915
33 1543211.2904886252 535271.5010164215
34 2480893.5983945043 879377.3065268988
35 929974.1477726884 339673.83222698263
36 1416477.6014414865 510689.2839378306
37 2923450.791658817 1081758.4069856168
38 914696.6723559251 331225.8319560085
39 2150067.9730721186 778758.209623592
40 2862810.7350281384 1022284.9113927782
41 1392197.3900736694 497448.0687401847
42 771919.4178985108 260144.8690679113
43 739539.2460140832 265853.84018289205
44 1199003.826943016 396050.977944905
45 2012114.2459216053 723896.0617115549
46 2233997.9654529477 822503.1569765775
47 661548.4861237473 225991.39048385798
48 1006512.2779724064 355977.1040312596
49 782008.3240993058 283948.3021492489
50 1333275.3966167858 464519.0031170436
51 1466432.6096627286 542558.9463177613
52 1770433.4763896498 664505.7124264097
53 3175970.947558554 1141133.127036329
54 2201793.7361177285 770437.7910129509
55 1247232.1750564107 454788.50925376377
56 1506220.6330278146 556695.0217439753
57 2178045.384682291 787193.7369306033
58 1937956.2402577493 722071.2592782017
59 2491004.4562287317 911158.7339954905
60 489165.3611914484 149963.6333661662
61 1997051.6587111827 736291.3032890463
62 971222.2473547366 331605.8924790423
63 2216912.705580221 794343.4933905011
64 1651522.9664559814 607763.9596602815
65 2495763.968532822 909600.6395286418
66 601791.2161486052 204349.82008670628
67 1846058.4889636587 652750.6047412144
68 2317068.971635978 825556.2099651947
69 584845.4393820141 200897.13162102504
70 674044.8792090922 239819.48199153927
71 1971394.5487941573 693225.8905737118
72 1625714.6862523945 549851.9528885501
73 592609.9434292064 202420.7974110379
74 1271929.5914393098 433491.71450663375
75 1012410.9085615316 357364.1866120657
76 1394718.6077859958 498763.6289888195
77 1687758.00938501 600171.4461330338
78 1912891.1382038272 702160.7984248509
79 1820197.963389569 652582.4923406095
80 626566.4596645288 212840.68126210908
81 2482075.542556068 891108.7610904757
82 526946.2960543145 163952.18708511963
83 1868849.293241722 629710.1788901247
84 1357659.0823436417 495416.75693843217
85 1280297.2123657463 449027.4271199399
86 2557015.767818095 936662.6818625208
87 1466951.1783418725 519315.86187679897
88 626069.476257074 211623.82850046197
89 2405714.7807321614 867159.6381242821
90 1350149.4757931791 488990.48861189117
91 541517.8442745883 182384.76996186486
92 528740.6370566789 184582.2206891066
93 962318.4987125952 341752.61353411863
94 2000081.3560129018 726010.2381543961
95 2276957.273650915 824359.2606891589
96 2004505.1165367826 730933.5437745046
97 1289599.7762196432 470480.41826632444
98 2213217.5045479145 802045.8813165025
99 1089875.17834001 393937.84746794024
100 1395461.6828549989 482907.33379729756
101 1751053.6971787065 634472.9300587998
102 501117.21512602654 172607.3632400868
103 730667.2575523988 242699.90158433188
104 1667715.279159496 580720.2517196944
105 454166.319983991 152903.5006881932
106 2476597.172129678 893176.1377723427
107 2133558.2079201895 798009.8793774229
108 345158.10073296574 101896.41319204426
109 1892262.8116799297 688393.6140820419
110 650748.1570676601 222593.5316136946
111 1929853.305729545 719654.7268448364
112 2077969.112623912 767324.3177537723
113 1661347.1696574287 557719.8001859516
114 807560.4073013098 281966.94886214763
115 710724.7467604809 264748.2367511662
116 867033.6972669284 305748.8458821641
117 1714669.843562702 615159.4610580818
118 1892617.7219333905 676599.8025684102
119 1492309.6438385127 524644.4262514524
120 2065947.6269279642 729995.5135073542
121 331942.9218228159 109642.10817670418
122 1293575.7312128001 483311.23829852534
123 1230918.9239001728 429767.80722620006
124 1974290.7635760899 703157.4012160961
125 2253753.1707927645 815729.9868265693
126 1253524.4192546066 460855.9565540875
127 1021649.3957164842 357693.8000156992
128 888812.7020658064 325915.54322926066
129 938935.686146837 343443.4005786584
130 2662983.6819307767 932128.777253114
131 2850792.0960016754 1028096.170768973
132 973457.7843005394 353504.6124996544
133 747862.3987887423 256014.6297417768
134 1310807.8533838105 455914.7604703014
135 678525.3243794872 207171.95762897347
136 2047669.1663960756 723063.2117302195
137 940892.7552283814 335480.31477156625
138 2229583.553523037 821453.3577772145
139 585555.9373089394 205926.32524464026
140 1202843.4071664857 400311.13373199955
141 2404827.9155632835 879709.0012568034
142 3647628.2748335777 1316575.5243111404
143 2074203.0451800062 725271.8307966404
144 613231.3326308612 203222.99906370096
145 159634.17455742232 50844.29463229041
146 1173129.9663981516 424610.3476896271
147 2183638.0221513375 782498.575503249
148 619143.1349695856 214136.35538820142
149 1736248.2953355953 618757.586645476
150 764635.2107190193 252423.89969774926
151 2725776.9104182874 970066.3740939458
152 2451864.0781332417 896442.8680293107
153 2054806.4638395447 744529.8523854095
154 2535733.025019755 927452.211148647
155 969417.1433622327 351104.2230176063
156 2203049.840593091 771770.9218429828
157 2038291.8426575365 745743.6824308054
158 734896.1440849047 256369.29970483325
159 1118993.4765617899 390953.08813279995
160 1335152.0014292684 477940.02392236434
161 1690222.8075191493 612988.1356167458
162 618730.5102739019 216057.46155921096
163 365828.87102003215 114304.06927093385
164 718763.1003635944 233976.31827046353
165 1853926.620815946 611690.6276165267
166 2023949.2159488832 736560.1237469171
167 1198778.233930284 430986.32651422935
168 1833578.9286176963 656541.0919241614
169 704764.3542539309 242101.9825831856
170 1635002.5112561074 593333.5087697635
171 747363.437274314 263091.7573342151
172 691082.774988507 231113.11487549197
173 1727229.2592012188 632640.040274729
174 387008.22237108054 124026.81814278959
175 2329532.802618967 825233.3377076192
176 1152946.6256752661 394779.7728303307
177 713713.4584243174 245239.7021470656
178 1690212.6060494718 623129.5622492862
179 1381306.0387265962 472760.36213283037
180 543846.0942862994 149971.03652145405
181 1005040.4195751109 344973.7384134562
182 1018315.2569228433 334448.04114175064
183 1470433.0207309788 544100.708443476
184 751684.1277285297 254319.97209034438
185 1390921.3709277036 497355.48004822765
186 887254.59484704 314234.7721520415
187 2547300.5988420206 934734.5546265392
188 2590863.169253799 919109.3479228658
189 2207569.9283769107 786854.1785653301
190 932517.930756224 321468.7718455318
191 528997.3636790472 157836.12257469355
192 1660343.351203751 597562.1088709574
193 1975990.2218766508 732836.7781042692
194 696275.6939710506 240554.1552290189
195 1850969.0657481558 653743.7193188557
196 1520903.3310704997 516598.93382099614
197 1108909.1532170686 385664.76441336266
198 798098.9878619189 286239.88220956357
