#run radE(eV) radE_filtered(eV)
0 299031.2231242183 71262.04538099874
1 469263.3390361618 137366.1139799448
2 231013.5836574029 38462.33752056649
3 109724.73211919997 12683.369439336242
4 484976.0369409865 136162.78204155804
5 395931.03039685165 120246.8307926501
6 105416.25685288373 10613.440245077518
7 166083.38295477777 35919.42886506854
8 346181.658336873 102843.20315561119
9 139989.58784964608 19604.676086237178
10 139253.45166586596 15182.142400336752
11 563403.3753593578 179898.1725137491
12 391695.55490002135 107761.0429619765
13 113893.13462170905 10799.02266129001
14 635676.3521145835 187527.5531609725
15 374349.0940531259 110607.33970230789
16 98346.68095278184 12433.58903259878
17 154107.41182530773 18947.91055362344
18 149648.44400589252 28431.652301277183
19 235620.2217988277 51036.951840455295
20 476034.0818436528 137997.48835332983
21 123694.77325099931 10652.05598305813
22 101269.57383516245 9805.370895618045
23 343767.0408928244 86559.17429460146
24 224744.4785889534 53266.47849806728
25 154158.18063543353 27584.042940134925
26 167053.7452492446 42839.41423174138
27 199139.17409296037 36638.825906257225
28 434468.05846663564 124659.13724562748
29 524035.23550645605 161504.80130210653
30 30174.053867372237 3623.6078385210876
31 426983.97179060883 118936.33034164556
32 323909.050662074 87416.57316973365
33 570598.9685444019 173535.76509426683
34 417816.5899471343 125929.07502896692
35 169569.35248025545 38378.55913369891
36 401717.1657208235 111820.4905884759
37 28281.539902077147 5274.854502189073
38 264779.5886312103 70037.84712441436
39 192230.6330821163 19602.072312444292
40 184508.991517497 31025.88320980824
41 385464.660477672 109710.87735923397
42 279308.10812292655 71383.99615845359
43 572431.8926788673 167304.36497531555
44 237517.58842823343 44424.43742890709
45 212659.00275645003 45580.54112228856
46 476945.6372278081 137519.05598066395
47 503282.4464715047 136112.81269742642
48 322604.4944187052 91365.8482567002
49 163057.76411611523 35708.313531121596
50 277455.01340988604 72662.40054389871
51 254984.28482666003 59327.10394909878
52 396860.2117540138 106258.54718380645
53 270320.9220991143 56776.93584882469
54 290155.5942903872 68714.69376225125
55 541288.4033544763 165284.34231621417
56 325131.26122824167 93785.14885004227
57 123399.38256647953 16736.915092227293
58 65983.17135648394 7555.756340499821
59 354837.10248074355 86880.11808891223
60 416161.6978651457 118176.47904617236
61 123013.61534233643 30108.545153967047
62 981568.071848 299442.85179634107
63 308464.82348251005 82810.64229504252
64 517319.9827679218 146522.06602801083
65 677305.2002817644 190330.44016949303
66 377607.61818277155 100950.70053825881
67 225492.54416039272 48388.58049186945
68 316399.25104635145 80354.36314707749
69 867136.0381848868 283849.4490327272
70 116204.13242793462 20208.0872789464
71 180904.52036658442 39541.18769822613
72 651823.7244431048 202134.8729305591
73 259445.17140343064 68311.16040072539
74 501755.98191126744 141091.9669404837
75 127962.84884216104 18372.672130118382
76 256962.93768376258 63209.753211707066
77 154096.21516430358 32725.45709089432
78 229751.7713160148 64917.41735520166
79 98479.22271513336 11081.325927842723
80 269869.8082115905 69682.71382439708
81 484600.43327244197 135796.63514567618
82 171648.8406333703 35857.163643455344
83 132539.52117043472 15911.565922532756
84 298677.9096781907 79708.2239959756
85 627668.5153718869 191139.9875663456
86 287647.70200880204 75646.75049462107
87 399607.4152933831 111403.76257361718
88 105785.22292529976 14804.20874915921
89 615697.0072769639 186286.55333575068
90 731829.9843047833 214820.9850340523
91 73242.4729033632 6619.572144671895
92 669625.1062108455 219001.06276370026
93 547962.0781427653 164453.2166288427
94 165054.12222578147 40477.75338115076
95 107757.74168938569 13469.93221362973
96 181608.20621994525 35631.18614168997
97 629991.0317378341 190861.70141308088
98 393102.776685514 106110.13914682229
99 267694.69245758845 56739.818702903314
100 153750.94946194495 28738.21107049483
101 272380.57881449227 74681.45069501572
102 479393.5162756061 147654.76860286028
103 201144.0045971569 45384.56553655066
104 117711.2154101386 17221.859556178548
105 33995.302085582516 2274.212737771163
106 155120.67501218844 20071.930264209663
107 210066.6670416524 44929.41589395086
108 595758.2068870955 186472.30194336257
109 485158.90508521354 129857.72278842433
110 122849.67651543053 15075.263938198443
111 431098.61053893453 120841.29573326407
112 617223.0386322687 167306.9994497476
113 200543.63326374316 41977.05704258968
114 356077.22577042656 104315.79004884994
115 195755.43508692583 39063.85019876729
116 58837.82318390102 8935.334629481611
117 519819.9016021138 153312.0974901718
118 585620.7601156534 154877.91955331515
119 104673.13622578226 17480.33169121636
120 334225.425300034 90244.07790776934
121 287298.01639241417 75250.577233496
122 238511.83407374864 62068.41248404818
123 315985.1448942011 88303.72391751164
124 381796.80922231387 111271.58691717061
125 232564.25379314768 59870.62330829188
126 125755.8487548548 20744.139690405722
127 11094.249638786418 1413.9130372613386
128 502501.4376908289 141810.47985167062
129 263940.4718798775 57579.44548519363
130 194160.16608803745 39960.59991112758
131 385086.1055792017 117167.93814987702
132 186316.96384543992 44639.832442220875
133 790609.5414706822 247578.19131863222
134 252968.2284453958 58717.96532504339
135 397329.8748650583 122405.36549689449
136 426698.9991177804 102599.40099318934
137 151039.10966129854 26517.32623592663
138 393463.04084185604 106229.04092303816
139 381519.49867331365 109231.5507364448
140 194293.97236002298 44501.61160940984
141 233582.59053804434 54538.94004536763
142 133292.2165871401 19512.81590265297
143 103783.11587826916 8780.275545275532
144 167765.32788929957 32619.877763042077
145 273284.80873142695 69492.10027219867
146 386936.3810537719 104353.72724857306
147 198209.9215085473 35517.23358460508
148 443933.31468207954 113788.54522377327
149 351044.01527395594 96027.46107457431
150 557437.7814906552 166002.7453979605
151 394319.62383512064 114551.671972033
152 370962.31607417035 98344.01591366772
153 365063.46813947783 89070.93247875514
154 452702.6502293871 126842.08600642225
155 226632.00585049574 55701.70978205365
156 118305.67222798704 9878.464672109316
157 299839.61790503934 78253.39147308699
158 396682.84087466245 103122.43779085035
159 391970.02521535836 96942.47594333977
160 453900.2041198455 136466.7122679898
161 647063.1218297085 210728.26703293994
162 264920.609445699 71325.79428634011
163 170172.07983572548 33992.53762015018
164 278939.33217213873 53247.14680588507
165 174327.53373582647 31669.38894893917
166 78781.07781517187 9435.888020862225
167 199032.6834261587 41525.95419901585
168 135848.995747645 12604.960820886143
169 138085.2212863335 19987.48159014353
170 99884.75014923133 6652.345027933489
171 393773.5166876192 106933.84084413364
172 155980.73594625303 35564.54442622829
173 739621.3116180083 225852.80692871046
174 166105.6705235479 36068.96619570808
175 309154.8999569846 64573.715828357104
176 168773.34119686447 38387.083839926825
177 259544.21039745767 58621.21623314187
178 700230.4562618375 214871.26307738593
179 259105.68734051546 69272.82853267394
180 276726.2198375963 73510.84820685019
181 231929.08389982517 55139.50391527569
182 373234.55401766236 100310.86927775793
183 99932.7128274549 14367.785408106663
184 221207.65392055296 50244.04879960365
185 345423.1900617036 92756.62447318393
186 481623.96702404076 138337.82385698045
187 440137.2751881491 124247.52651413112
188 255033.1830095645 56752.284453245615
189 283676.1904168944 61127.05537646028
190 116919.07057128457 18314.099180791767
191 224355.45096918955 53471.27344954002
192 129107.64808029387 10774.785082382774
193 299949.33853669313 61780.279505257124
194 395049.9142236715 112663.1856132055
195 98708.8428201049 15788.682915766212
196 938798.6209496111 312366.1638599648
197 401144.84026535234 120062.79416989721
198 331499.2449107095 81042.76146664217
199 248306.84947876807 68863.61349996524
